version,page,split,cer,wer,gt_chars,pred_chars
before,1,first,0.060411311053984576,0.10784313725490197,2334,2201
before,2,first,0.011923076923076923,0.06930693069306931,2600,2612
before,3,first,0.03877314814814815,0.0375,1728,1795
before,4,first,0.026993355481727575,0.03355704697986577,2408,2355
before,5,first,0.03707684040838259,0.07936507936507936,1861,1926
before,6,first,0.0014970059880239522,0.007042253521126761,1336,1338
before,31,middle,0.2824858757062147,1.3372093023255813,1239,1589
before,32,middle,0.496274217585693,1.360655737704918,671,877
before,33,middle,0.0180623973727422,0.017241379310344827,609,618
before,34,middle,0.003083247687564234,0.012658227848101266,973,976
before,35,middle,0.29191616766467066,0.4931506849315068,668,588
before,36,middle,0.005366726296958855,0.03333333333333333,559,558
after,1,first,0.0,0.0,2334,2334
after,2,first,0.05653846153846154,0.07920792079207921,2600,2744
after,3,first,0.08622685185185185,0.125,1728,1877
after,4,first,0.0436046511627907,0.03355704697986577,2408,2405
after,5,first,0.0,0.0,1861,1861
after,6,first,0.023952095808383235,0.02112676056338028,1336,1368
after,31,middle,0.12267958030669895,0.09302325581395349,1239,1283
after,32,middle,0.0,0.0,671,671
after,33,middle,0.0,0.0,609,609
after,34,middle,0.0,0.0,973,973
after,35,middle,0.0,0.0,668,668
after,36,middle,0.0,0.0,559,559
