version,page,split,cer,wer,gt_chars,pred_chars
before,1,first,0.060411311053984576,0.10784313725490197,2334,2201
before,2,first,0.05102040816326531,0.10185185185185185,2744,2612
before,3,first,0.11507725093233884,0.14444444444444443,1877,1795
before,4,first,0.02577962577962578,0.05263157894736842,2405,2355
before,5,first,0.03707684040838259,0.07936507936507936,1861,1926
before,6,first,0.021929824561403508,0.013793103448275862,1368,1338
before,31,middle,0.3912704598597038,1.3369565217391304,1283,1589
before,32,middle,0.496274217585693,1.360655737704918,671,877
before,33,middle,0.0180623973727422,0.017241379310344827,609,618
before,34,middle,0.003083247687564234,0.012658227848101266,973,976
before,35,middle,0.29191616766467066,0.4931506849315068,668,588
before,36,middle,0.005366726296958855,0.03333333333333333,559,558
before,62,last,0.6335504885993485,1.1884057971014492,614,1003
before,63,last,0.7493472584856397,4.285714285714286,766,1340
before,64,last,0.15939730372720062,0.09900990099009901,1261,1460
before,65,last,0.003864734299516908,0.0111731843575419,1035,1039
before,66,last,0.11516314779270634,0.34375,521,473
before,67,last,0.9823008849557522,0.8571428571428571,113,2
after,1,first,0.0,0.0,2334,2334
after,2,first,0.0,0.0,2744,2744
after,3,first,0.0,0.0,1877,1877
after,4,first,0.0,0.0,2405,2405
after,5,first,0.0,0.0,1861,1861
after,6,first,0.0,0.0,1368,1368
after,31,middle,0.0,0.0,1283,1283
after,32,middle,0.0,0.0,671,671
after,33,middle,0.0,0.0,609,609
after,34,middle,0.0,0.0,973,973
after,35,middle,0.0,0.0,668,668
after,36,middle,0.0,0.0,559,559
after,62,last,0.0,0.0,614,614
after,63,last,0.0,0.0,766,766
after,64,last,0.0,0.0,1261,1261
after,65,last,0.0,0.0,1035,1035
after,66,last,0.0,0.0,521,521
after,67,last,0.0,0.0,113,113
